concept_uuid;adamlink;straat
00511309-1ffc-49c5-97c4-6e6c9aaf4cf1;;Gibraltarbuurt
01faadc9-1df9-4609-a149-a335f3dc36d0;https://adamlink.nl/geo/street/mrjcbuhrmannlaan/9087;Mr.J.C.Bührmannlaan (Weesp)
02d00405-9721-4d9d-aa3e-dcc9bbafc60d;https://adamlink.nl/geo/street/mijndenhof/9080;Mijndenhof (Weesp)
03c26fd9-6984-4e7f-a2cc-7ae61d3c57ad;https://adamlink.nl/geo/street/lakenkopersweg/9054;Lakenkopersweg (Weesp)
04a2978d-bcb0-4729-8aa5-a07aee1093c1;;Nieuwendammerdijk-Zuid
04b2983d-f410-4bc5-8024-45fa00856604;https://adamlink.nl/geo/street/cronenburghlaan/8922;Cronenburghlaan (Weesp)
07069631-ea3e-4851-a025-257037abceeb;https://adamlink.nl/geo/street/torenforthof/9161;Torenforthof (Weesp)
0784c15d-1d65-4b5e-b199-194f22cba92b;;Westergasfabriekterrein
07891219-2910-4bbb-9700-9774c20f6e3b;https://adamlink.nl/geo/street/molenstraat/9083;Molenstraat (Weesp)
07d3e6fd-354b-486a-906c-cdf0c32561d6;https://adamlink.nl/geo/street/ingelandenstraat/9013;Ingelandenstraat (Weesp)
083b1d4d-efd4-4ce4-96cd-6a9ced9c2b5c;https://adamlink.nl/geo/street/dirk-marcussteeg/8933;Dirk Marcussteeg (Weesp)
08ea7b83-0c44-4584-ad8f-7b40e216194c;https://adamlink.nl/geo/street/swaenenvechthof/9152;Swaenenvechthof (Weesp)
09e6477d-7784-4fd5-97fe-1e4e25aec0ee;https://adamlink.nl/geo/street/wout-van-vliethof/9186;Wout van Vliethof (Weesp)
0dcc36d1-39c9-49df-a382-185b3ff26ff6;https://adamlink.nl/geo/street/henriette-roland-holsthof/8998;Henriëtte Roland Holsthof (Weesp)
0de1cc0c-5c46-4e25-9984-464fa174aa59;https://adamlink.nl/geo/street/jslauerhoffstraat/9017;J.Slauerhoffstraat (Weesp)
0e846c37-1f00-4c6a-8bf5-824ee12f1702;https://adamlink.nl/geo/street/pcboutensstraat/9111;P.C.Boutensstraat (Weesp)
1030beee-bce0-4552-bf0d-93623b1c2058;https://adamlink.nl/geo/street/breedlandpad/8909;Breedlandpad (Weesp)
117bb4d0-80de-4537-9005-0ed7a2d379b2;https://adamlink.nl/geo/street/wintertuin/9184;Wintertuin (Weesp)
12c0ee75-8f73-42b4-bd52-262a78fdcdd2;https://adamlink.nl/geo/street/eemmeerlaan/8941;Eemmeerlaan (Weesp)
13d3d98a-2f82-4646-9a1b-f624959d8680;https://adamlink.nl/geo/street/kruisland/9051;Kruisland (Weesp)
14099fd1-ec3d-4778-a64f-02c588cf43d3;https://adamlink.nl/geo/street/loevesteinlaan/9068;Loevesteinlaan (Weesp)
15b670bf-d742-4e93-b79c-baf3009f3040;https://adamlink.nl/geo/street/emmastraat/8943;Emmastraat (Weesp)
15e573cd-818f-48de-ac31-4af53e7c3830;https://adamlink.nl/geo/street/hinderdampad/9006;Hinderdampad (Weesp)
169471ee-f788-4693-8b3c-97484787825d;https://adamlink.nl/geo/street/fort-aalsmeerstraat/8947;Fort Aalsmeerstraat (Weesp)
170b2d7f-64fd-43e0-bfe5-d75f76bc185c;https://adamlink.nl/geo/street/swaenenvechtlaan/9153;Swaenenvechtlaan (Weesp)
177a26fb-de7e-4a3a-955c-09305fd4d1d5;https://adamlink.nl/geo/street/leeuwenburgstraat/9059;Leeuwenburgstraat (Weesp)
19798ccd-4164-429e-b059-f6d4588cf0fb;;Bijlmermuseum
1b881b42-1714-4688-9ec2-2b424fe7b760;;Bedrijvencentrum Westerkwartier
1cfa294d-80b2-4ce0-9d61-2b65295bb46a;https://adamlink.nl/geo/street/fort-hinderdamstraat/8954;Fort Hinderdamstraat (Weesp)
1da991b0-32f8-4ee6-8cc7-95836a3eef23;https://adamlink.nl/geo/street/nijenrodehof/9101;Nijenrodehof (Weesp)
200fd43c-ed2c-46b3-be0f-908848c2f1ee;https://adamlink.nl/geo/street/korte-stammerdijk/9047;Korte Stammerdijk (Weesp)
223f1dc1-2202-4aea-b127-ebb1e2f3c7ce;https://adamlink.nl/geo/street/talmastraat/9157;Talmastraat (Weesp)
22b94934-4f7e-4158-99f3-a3975ff92bdc;https://adamlink.nl/geo/street/lunettenpad/9069;Lunettenpad (Weesp)
23781a36-a1d5-44f1-816e-ad7044b0b559;https://adamlink.nl/geo/street/sam-van-gentsteeg/9134;Sam van Gentsteeg (Weesp)
23e104fc-e732-457a-b815-ee75cf619115;https://adamlink.nl/geo/street/fort-vreeswijkhof/8965;Fort Vreeswijkhof (Weesp)
24b07fd5-f54a-4da4-aeda-92e1f3d64b7e;https://adamlink.nl/geo/street/mater-zwaeneiland/9072;Mater Zwaeneiland (Weesp)
